Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 10-Jan-2025 09:36:00
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
3.535534e-02     3.535534e-02     5.000000e-02     4.500000e+01     -5.518472e-07    3.958006e-03     4.165328e+04     9.321877e-08     -4.258085e+04    2.955649e-09     4.258085e+04     2.614969e-10     -3.591951e-10    4.143130e-11     5.434420e-11     6.084645e-12     9.441309e-14     2.250092e-13     -6.132741e-14    5.945900e-14     1.541887e-16     1.832346e-17     -1.040704e-13    -1.329318e-13    -4.074597e+04    -3.035375e-10    4.074597e+04     -1.877979e-09    1.631906e-07     -5.730154e-08    -4.165328e+04    -9.961644e-08    
4.242641e-02     4.242641e-02     6.000000e-02     4.500000e+01     -1.476635e-05    5.554570e-03     4.165329e+04     1.945199e-07     4.258085e+04     1.012904e-09     -4.258085e+04    8.187046e-10     -2.937679e-13    7.357167e-14     3.187865e-14     3.862584e-14     -4.103276e-16    -2.034751e-16    1.980625e-13     -2.883365e-13    3.065556e-11     -3.248544e-12    -3.140940e-11    -4.094676e-11    4.074598e+04     -1.378601e-10    -4.074598e+04    -8.353134e-10    -2.565519e-07    -1.927159e-07    -4.165329e+04    -2.051780e-07    
4.949747e-02     4.949747e-02     7.000000e-02     4.500000e+01     -1.078152e-05    7.441439e-03     -1.403727e-06    4.912556e-07     4.074600e+04     6.608103e-09     4.258087e+04     3.495527e-09     4.165329e+04     1.825443e-10     -1.870126e-11    4.900848e-11     -8.262555e-12    1.197700e-11     -4.123415e-14    1.038470e-13     6.082522e-17     -6.375405e-17    2.053017e-13     -6.678259e-14    5.728105e-14     -1.390432e-13    -4.165329e+04    -3.472607e-09    -4.074600e+04    -3.526037e-09    -4.258087e+04    -4.895581e-09    
5.656854e-02     5.656854e-02     8.000000e-02     4.500000e+01     2.046790e-05     9.642485e-03     5.351739e-05     4.265665e-06     2.192590e-07     6.110059e-08     4.165330e+04     4.926076e-08     4.258088e+04     1.859544e-09     -4.258088e+04    6.966869e-10     4.074601e+04     5.741857e-10     -4.720529e-12    1.492752e-11     -5.136958e-13    1.764669e-13     1.965706e-14     7.938604e-14     -1.979325e-14    1.839212e-14     -8.278556e-17    -5.009558e-17    1.287414e-11     -1.036622e-10    -4.074601e+04    -2.290132e-09    
6.363961e-02     6.363961e-02     9.000000e-02     4.500000e+01     1.198265e-05     1.214951e-02     -7.441097e-07    2.284934e-07     4.165331e+04     9.860198e-08     4.258089e+04     2.018596e-09     4.074602e+04     1.799769e-09     -4.646544e-13    4.387740e-13     5.488508e-17     4.496752e-17     4.586702e-14     -1.858817e-15    1.719768e-13     -2.395100e-14    -5.296032e-13    -8.706301e-12    -9.387052e-11    -9.072582e-11    -4.258089e+04    -5.094068e-10    -4.074602e+04    -2.017252e-09    -4.165331e+04    -4.623044e-08    
7.071068e-02     7.071068e-02     1.000000e-01     4.500000e+01     7.012226e-06     1.496598e-02     -2.081594e-05    3.188197e-05     1.026907e-06     3.327693e-07     -4.165332e+04    2.889384e-07     -4.258091e+04    7.956627e-09     -4.074604e+04    2.047242e-09     -9.076408e-12    1.607774e-12     -3.699513e-13    7.165125e-13     -3.195166e-14    7.498939e-14     -6.954528e-15    3.015505e-14     1.680693e-16     1.327032e-17     -4.752568e-11    -4.812014e-11    4.258091e+04     -8.992124e-10    4.074604e+04     -7.875907e-09    
7.778175e-02     7.778175e-02     1.100000e-01     4.500000e+01     9.449830e-06     1.811543e-02     -1.256645e-05    2.276615e-05     1.386187e-06     1.155108e-06     -4.165333e+04    4.643316e-08     -4.258092e+04    7.083202e-09     -4.074606e+04    3.123291e-09     1.171223e-11     2.988770e-12     -1.867710e-13    1.003608e-13     -2.212147e-16    -9.141684e-17    4.264184e-13     -7.164489e-15    -1.011830e-14    -2.390608e-14    3.206966e-11     -5.616260e-11    4.258092e+04     -3.663920e-09    4.074606e+04     -8.895069e-09    
8.485281e-02     8.485281e-02     1.200000e-01     4.500000e+01     -3.956442e-05    2.160880e-02     -6.974089e-05    2.142499e-05     -4.258094e+04    2.750904e-09     -4.074608e+04    1.880417e-09     2.747588e-11     1.505777e-10     4.258094e+04     9.877592e-11     -5.583692e-12    3.134767e-12     -1.439777e-13    3.416031e-13     2.189536e-15     5.028369e-15     -1.769195e-16    -6.370904e-16    2.504859e-13     -9.126558e-14    4.074608e+04     -2.747540e-09    -4.165335e+04    -2.549526e-08    4.165335e+04     -2.718696e-08    
9.192388e-02     9.192388e-02     1.300000e-01     4.500000e+01     -1.856671e-05    2.547409e-02     6.295357e-05     1.658949e-05     -4.165336e+04    7.964774e-08     4.074610e+04     6.450418e-09     -4.074610e+04    5.749859e-09     -7.458489e-11    3.588311e-11     -1.224314e-12    1.386209e-12     2.340232e-14     7.498860e-14     4.473970e-15     1.324830e-15     -5.143715e-17    -1.642214e-17    -1.574106e-13    -1.561016e-12    -4.258096e+04    -5.698672e-09    4.258096e+04     -6.527623e-09    4.165336e+04     -1.131861e-07    
9.899495e-02     9.899495e-02     1.400000e-01     4.500000e+01     -2.775683e-05    2.976003e-02     -4.165338e+04    1.932314e-08     4.165338e+04     1.802175e-08     4.074613e+04     6.435434e-09     -4.074613e+04    5.202719e-09     -4.134109e-10    3.341142e-10     3.143008e-12     2.124709e-12     -8.717785e-17    2.922157e-14     1.283108e-17     -6.973575e-17    -4.066626e-14    -3.511240e-14    8.223568e-14     -4.989810e-13    4.258098e+04     -3.844497e-09    -4.258098e+04    -5.790819e-09    5.777433e-07     -2.080113e-07    
