Below are the first nkwall=min(nw,4*S+6)=18 solutions from BO, sorted by imag part, at 24-Dec-2024 15:24:00
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  
4.363268e-03     4.999810e-01     5.000000e-01     8.950000e+01     -1.793551e-12    1.103736e-04     -4.577463e-08    4.465116e-10     4.723663e-08     3.988369e-10     -1.068147e-13    1.052518e-12     4.388569e+03     7.956839e-13     3.328516e-16     6.854139e-16     -1.710645e-16    -5.307167e-16    -1.514597e-13    -1.447982e-13    -4.477907e-13    -2.209959e-13    7.179477e+02     -5.312102e-13    4.656137e-14     -6.464077e-13    -4.388569e+03    -1.504256e-12    -1.676703e-12    -2.295422e-12    4.764786e-12     -2.804478e-12    -7.179477e+02    -6.908034e-12    -5.007101e-01    -6.757129e-11    5.007101e-01     -6.816515e-11    -1.466665e-09    -8.597211e-10    
4.581431e-03     5.249800e-01     5.250000e-01     8.950000e+01     -1.007707e-13    1.149256e-04     -4.732770e-08    1.833622e-10     4.992754e-08     1.558437e-10     4.388569e+03     8.972803e-13     8.264918e-13     4.837639e-13     -4.412526e-13    3.296520e-13     2.223921e-13     2.687281e-13     -4.388569e+03    1.741370e-13     3.649524e-12     8.700486e-14     5.673158e-16     1.462029e-16     3.019395e-17     -9.761140e-16    7.179608e+02     -1.948759e-13    -7.179608e+02    -6.614087e-13    -7.243750e-13    -8.149795e-13    -2.463120e-12    -9.465210e-13    5.257160e-01     -7.362278e-11    -5.257160e-01    -7.369287e-11    -2.601488e-09    -3.541695e-10    
4.799595e-03     5.499791e-01     5.500000e-01     8.950000e+01     -5.895038e-13    1.193384e-04     4.998292e-08     8.400448e-10     -5.198502e-08    7.468789e-10     3.930480e-13     3.893319e-12     3.046953e-12     3.754380e-12     -7.179746e+02    1.628208e-12     2.035377e-13     6.794905e-13     -4.388570e+03    4.642590e-13     7.179746e+02     3.176373e-13     4.388570e+03     2.722445e-13     -6.575577e-13    1.853849e-13     -8.713129e-16    6.704059e-17     1.102764e-15     -1.000699e-15    -2.369906e-13    -5.226935e-14    1.906894e-12     -6.471195e-13    5.507169e-01     -7.746571e-11    -5.507169e-01    -7.781471e-11    2.001896e-09     -1.602138e-09    
5.017758e-03     5.749781e-01     5.750000e-01     8.950000e+01     8.448843e-13     1.236058e-04     -4.773858e-08    1.578016e-09     5.623081e-08     9.582054e-10     7.179890e+02     2.163066e-12     -4.388570e+03    1.405892e-12     6.068056e-13     1.045802e-12     -2.402996e-12    1.045762e-12     -1.167996e-14    3.993852e-15     7.764913e-16     -7.890446e-16    1.575222e-12     -9.453273e-14    -1.730313e-12    -1.826939e-13    4.388570e+03     -1.991185e-13    -6.174007e-13    -1.484360e-12    3.262958e-12     -2.639442e-12    -7.179890e+02    -9.333538e-12    -5.757122e-01    -8.515082e-11    5.757122e-01     -8.562054e-11    -8.499012e-09    -2.555212e-09    
5.235921e-03     5.999772e-01     6.000000e-01     8.950000e+01     -7.321039e-13    1.277218e-04     -5.334468e-08    1.835359e-10     5.799628e-08     1.361141e-10     -7.180041e+02    8.400234e-12     5.698859e-12     2.849562e-12     -1.047795e-12    2.407258e-12     1.113712e-15     3.996929e-16     -1.578482e-15    -1.893752e-16    4.575576e-15     -2.264318e-13    -4.388570e+03    -6.771287e-13    -2.032648e-12    -1.402367e-12    4.388570e+03     -1.592369e-12    -4.877839e-12    -2.516950e-12    3.782656e-12     -2.518581e-12    7.180041e+02     -7.940383e-12    6.007014e-01     -8.514630e-11    -6.007014e-01    -8.601407e-11    -4.651358e-09    -3.401884e-10    
5.454085e-03     6.249762e-01     6.250000e-01     8.950000e+01     -2.622915e-14    1.316805e-04     9.768683e-11     1.916139e-09     -3.803970e-13    5.111246e-12     -4.388571e+03    4.064706e-12     7.180198e+02     1.831842e-12     4.951827e-12     9.358337e-13     -1.040662e-12    8.501514e-13     7.901320e-13     7.632608e-13     -7.180198e+02    6.478069e-13     -4.187360e-16    1.417506e-17     6.600969e-16     -5.823016e-16    -1.548464e-13    -9.515290e-13    3.766781e-12     -1.289468e-12    4.388571e+03     -2.822149e-12    6.256837e-01     -9.122440e-11    -6.256837e-01    -9.135707e-11    -5.839813e-08    -9.654517e-10    5.830178e-08     -9.688344e-10    
5.672248e-03     6.499752e-01     6.500000e-01     8.950000e+01     -4.394537e-13    1.354759e-04     -5.787551e-08    9.147485e-10     6.313324e-08     7.038966e-10     -9.081302e-12    9.000937e-12     -7.180361e+02    8.704393e-12     4.388571e+03     8.208948e-12     -7.250139e-13    1.780235e-12     -4.388571e+03    1.634229e-12     -3.680876e-12    9.128040e-13     2.247154e-16     1.808530e-15     5.152571e-14     1.630434e-15     4.614616e-16     1.594507e-16     1.486002e-13     -4.134711e-13    -3.796294e-13    -7.332955e-13    7.180361e+02     -1.801146e-12    6.506582e-01     -9.410848e-11    -6.506582e-01    -9.428048e-11    -5.250218e-09    -1.639355e-09    
5.890411e-03     6.749743e-01     6.750000e-01     8.950000e+01     -9.281165e-13    1.391022e-04     -3.829497e-09    2.805429e-09     -5.390118e-12    9.798765e-12     1.864054e-13     2.908155e-12     5.034757e-13     7.384756e-13     -9.505859e-16    4.578553e-16     2.079569e-16     -9.310671e-16    6.924207e-13     -2.222633e-13    4.044202e-14     -3.461168e-13    6.159214e-13     -7.894894e-13    4.388572e+03     -1.168713e-12    -7.180531e+02    -2.666181e-12    7.180531e+02     -9.751298e-12    -4.388572e+03    -9.846251e-12    -6.756240e-01    -9.995314e-11    6.756240e-01     -1.004800e-10    6.445954e-08     -1.285027e-09    -6.062837e-08    -1.539759e-09    
6.108575e-03     6.999733e-01     7.000000e-01     8.950000e+01     3.831029e-13     1.425537e-04     6.223841e-08     1.021149e-09     -6.695056e-08    8.180317e-10     -7.180707e+02    1.022360e-11     7.180707e+02     1.004569e-11     -6.819706e-12    8.853877e-12     6.325404e-13     9.539124e-13     -6.514877e-16    4.440507e-16     -7.490249e-16    -8.571566e-16    -4.991490e-13    -2.178895e-13    8.688871e-13     -5.611883e-13    -1.265741e-12    -1.196909e-12    4.388572e+03     -2.850515e-12    -4.388572e+03    -2.884333e-12    -5.234698e-12    -1.083742e-11    -7.005795e-01    -1.055325e-10    7.005795e-01     -1.057920e-10    4.713891e-09     -1.861027e-09    
6.326738e-03     7.249724e-01     7.250000e-01     8.950000e+01     7.908203e-13     1.458246e-04     6.992673e-10     3.683511e-09     -7.180890e+02    3.481275e-12     -1.387078e-12    1.161950e-12     -6.810885e-12    1.130529e-12     3.445630e-12     9.583438e-13     5.008555e-13     4.619611e-13     -7.526451e-16    5.481495e-16     -1.504742e-15    1.875117e-16     -4.388573e+03    -1.518347e-13    4.376441e-13     -5.623875e-13    7.180890e+02     -5.683556e-13    4.388573e+03     -2.406205e-12    5.125734e-12     -2.700920e-12    -7.255230e-01    -1.125369e-10    7.255230e-01     -1.129335e-10    -6.743585e-08    -1.824603e-09    6.673305e-08     -1.880136e-09    
