Below are the first nkwall=min(nw,4*S+6)=18 solutions from BO, sorted by imag part, at 03-Jan-2025 15:07:38
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  
1.745241e-02     9.998477e-01     1.000000e+00     8.900000e+01     -8.751603e-01    2.894414e-06     -1.135183e+00    8.862753e-07     -1.185202e-06    2.502745e-07     -1.514615e+02    1.855143e-09     -1.101196e+02    6.110988e-11     -2.086404e+02    3.221460e-11     2.960797e-14     1.904751e-14     1.233669e-14     8.328231e-15     1.936261e-15     2.491033e-15     -1.259769e-15    1.123214e-15     8.728469e-16     1.223317e-16     -4.793401e-18    -1.134920e-15    -1.038396e-15    -2.169366e-15    -1.276839e-14    -6.410001e-15    5.344000e-15     -1.551798e-14    2.086404e+02     -9.935265e-11    1.101196e+02     -1.007802e-10    1.514615e+02     -5.065085e-09    
1.919765e-02     1.099832e+00     1.100000e+00     8.900000e+01     -9.006612e-01    1.930660e-06     3.074799e-06     3.195646e-08     1.102603e+02     7.949066e-10     2.086815e+02     2.239325e-10     -1.860365e-14    1.441207e-14     -7.254174e-15    5.189592e-15     1.930610e-14     2.609987e-15     5.454904e-16     5.772778e-16     -7.053042e-16    -6.216349e-16    8.287580e-16     -9.218634e-16    -1.912209e-14    -1.524130e-15    -2.039524e-15    -1.423610e-14    -3.088114e-14    -2.435831e-14    -2.086815e+02    -1.713999e-10    1.516189e+02     -6.868348e-10    -1.102603e+02    -9.200687e-10    -1.516189e+02    -2.353928e-09    -3.074595e-06    -4.227728e-08    
2.094289e-02     1.199817e+00     1.200000e+00     8.900000e+01     9.190397e-01     1.164816e-06     -1.242887e+00    6.357159e-07     -9.918354e-07    7.276647e-08     1.242887e+00     7.174883e-08     1.517912e+02     1.060816e-09     -1.104140e+02    1.242764e-10     -2.087266e+02    9.802404e-11     6.386282e-15     1.036694e-14     -8.811097e-15    3.529176e-15     3.047353e-15     3.016882e-15     2.589213e-16     5.522694e-16     2.154303e-16     -1.246024e-16    -5.491037e-16    -5.652830e-16    -2.073148e-14    -3.050882e-15    -5.204441e-16    -1.250754e-14    -4.656508e-14    -3.641539e-14    2.087266e+02     -6.214749e-12    1.104140e+02     -5.117423e-10    
2.268813e-02     1.299802e+00     1.300000e+00     8.900000e+01     1.299535e+00     2.590461e-07     -1.299535e+00    8.794751e-08     2.169295e-06     5.003027e-09     -1.519782e+02    2.019181e-09     1.519782e+02     1.071373e-09     3.598781e-15     1.112575e-14     1.061379e-14     7.166749e-15     1.463385e-14     9.602678e-16     4.179095e-16     5.701628e-16     3.568300e-16     1.805935e-17     2.348464e-16     -8.499438e-16    -2.358600e-15    -1.228725e-15    -2.653117e-14    -2.208250e-15    6.073355e-15     -1.097500e-14    -2.087757e+02    -3.079542e-12    2.087757e+02     -8.150475e-12    1.105806e+02     -1.437033e-10    -1.105806e+02    -2.041087e-10    
2.443337e-02     1.399787e+00     1.400000e+00     8.900000e+01     1.265502e-06     1.980306e-07     1.357209e+00     2.793874e-08     -1.357210e+00    1.875845e-08     1.521799e+02     1.465320e-09     1.107601e+02     1.224374e-10     2.088288e+02     1.982718e-11     6.593861e-15     3.724734e-14     -5.896759e-15    2.177624e-15     1.582550e-16     5.158922e-16     -4.760238e-17    -7.567676e-16    3.075378e-15     -1.229533e-15    -1.124824e-15    -4.375980e-15    9.311084e-15     -5.802231e-15    1.022860e-14     -1.909476e-14    -6.857880e-14    -7.003935e-14    -2.088288e+02    -2.970713e-12    -1.107601e+02    -3.962065e-11    -1.521799e+02    -4.292372e-09    
2.617861e-02     1.499772e+00     1.500000e+00     8.900000e+01     9.538250e-08     6.670746e-07     1.416513e+00     4.751922e-09     1.109523e+02     7.064830e-10     1.523963e+02     2.912674e-10     2.088860e+02     2.117773e-10     1.064367e-13     2.197466e-14     2.014341e-14     6.667583e-15     -1.182521e-16    1.263186e-15     8.974422e-17     7.994879e-16     6.750362e-16     4.655539e-16     2.559599e-15     -2.909693e-15    -5.879126e-16    -7.299894e-15    -6.359169e-15    -8.847005e-15    2.134669e-15     -1.143915e-14    -2.088860e+02    -1.698070e-10    -1.109523e+02    -5.132076e-10    -1.523963e+02    -9.565436e-10    -1.416514e+00    -6.177630e-07    
2.792385e-02     1.599756e+00     1.600000e+00     8.900000e+01     -4.427312e-06    3.770298e-08     -1.526272e+02    9.632173e-10     -2.089472e+02    1.499076e-10     2.089472e+02     1.718968e-11     1.511796e-15     1.382732e-14     -2.067530e-14    8.669840e-15     8.506436e-15     1.984765e-15     2.785102e-15     1.430892e-15     -7.568828e-18    2.161512e-16     3.840839e-16     3.990341e-17     -1.824181e-16    -9.299397e-16    -4.148698e-15    -1.176691e-15    2.597280e-14     -1.819762e-14    -1.111570e+02    -1.246868e-10    1.111570e+02     -5.714264e-10    1.526272e+02     -6.898406e-10    4.427162e-06     -5.257817e-08    1.478260e+00     -5.905640e-07    
2.966909e-02     1.699741e+00     1.700000e+00     8.900000e+01     -1.423547e-07    3.773803e-06     -1.113742e+02    8.355501e-10     -1.528726e+02    8.164158e-10     1.528726e+02     9.732230e-11     1.113742e+02     5.528665e-11     -2.090125e+02    2.125733e-11     3.582144e-15     8.533828e-15     1.445562e-15     5.770397e-16     -4.721339e-17    -1.089486e-16    -1.941646e-15    -4.169626e-16    -2.898966e-18    -7.276166e-16    1.061337e-14     -1.061629e-15    -1.668115e-15    -1.891142e-15    1.667792e-15     -5.057879e-15    -1.079143e-14    -1.237426e-14    2.090125e+02     -9.952474e-11    -1.543079e+00    -2.853484e-07    1.543078e+00     -4.736198e-07    
3.141433e-02     1.799726e+00     1.800000e+00     8.900000e+01     -6.192643e-08    4.217442e-06     -1.531325e+02    1.450210e-09     -1.116037e+02    6.874768e-10     -2.090819e+02    9.805960e-11     1.031831e-14     1.867158e-14     2.644838e-14     1.134981e-14     6.411787e-16     6.936524e-16     7.025494e-17     9.363288e-17     -5.793706e-16    -2.884022e-16    -3.525275e-15    -2.635918e-15    -6.568911e-17    -7.053618e-15    -1.324681e-14    -8.348654e-15    -1.316293e-15    -2.341068e-14    2.090819e+02     -5.405683e-11    1.116037e+02     -1.307382e-10    1.531325e+02     -7.743060e-10    1.611216e+00     -2.760726e-07    -1.611215e+00    -1.653705e-06    
3.315957e-02     1.899711e+00     1.900000e+00     8.900000e+01     -2.192331e-07    3.117327e-06     1.682351e+00     5.718463e-07     1.534068e+02     3.312579e-10     1.118454e+02     2.834194e-10     2.091555e+02     9.893767e-12     1.848912e-14     5.781840e-14     -3.725730e-14    1.993513e-14     -1.503776e-14    1.341480e-14     -4.929452e-14    8.485733e-15     8.278475e-16     8.413288e-16     5.510784e-16     3.262472e-16     1.092232e-14     -1.077153e-16    -4.375235e-16    -1.602782e-16    -1.043796e-14    -1.559801e-15    -1.118454e+02    -2.114218e-11    -2.091555e+02    -2.755502e-10    -1.534068e+02    -6.131595e-10    -1.682351e+00    -4.143507e-07    
